ka2.util.lor|ka2.util.lor_id|ka2.util.bezirk_name|ka2.util.lor_name|ka2.util.bezirksregion_name
1|01011101|Mitte|Stülerstraße|Tiergarten Süd
2|01011102|Mitte|Großer Tiergarten|Tiergarten Süd
3|01011103|Mitte|Lützowstraße|Tiergarten Süd
4|01011104|Mitte|Körnerstraße|Tiergarten Süd
5|01011105|Mitte|Nördlicher Landwehrkanal|Tiergarten Süd
6|01011201|Mitte|Wilhelmstraße|Regierungsviertel
7|01011202|Mitte|Unter den Linden Nord|Regierungsviertel
8|01011203|Mitte|Unter den Linden Süd|Regierungsviertel
9|01011204|Mitte|Leipziger Straße|Regierungsviertel
10|01011301|Mitte|Charitéviertel|Alexanderplatz
11|01011302|Mitte|Oranienburger Straße|Alexanderplatz
12|01011303|Mitte|Alexanderplatzviertel|Alexanderplatz
13|01011304|Mitte|Karl-Marx-Allee|Alexanderplatz
14|01011305|Mitte|Heine-Viertel West|Alexanderplatz
15|01011306|Mitte|Heine-Viertel Ost|Alexanderplatz
16|01011401|Mitte|Invalidenstraße|Brunnenstraße Süd
17|01011402|Mitte|Arkonaplatz|Brunnenstraße Süd
18|01022101|Mitte|Huttenkiez|Moabit West
19|01022102|Mitte|Beusselkiez|Moabit West
20|01022103|Mitte|Westhafen|Moabit West
21|01022104|Mitte|Emdener Straße|Moabit West
22|01022105|Mitte|Zwinglistraße|Moabit West
23|01022106|Mitte|Elberfelder Straße|Moabit West
24|01022201|Mitte|Stephankiez|Moabit Ost
25|01022202|Mitte|Heidestraße|Moabit Ost
26|01022203|Mitte|Lübecker Straße|Moabit Ost
27|01022204|Mitte|Thomasiusstraße|Moabit Ost
28|01022205|Mitte|Zillesiedlung|Moabit Ost
29|01022206|Mitte|Lüneburger Straße|Moabit Ost
30|01022207|Mitte|Hansaviertel|Moabit Ost
31|01033101|Mitte|Soldiner Straße|Osloer Straße
32|01033102|Mitte|Gesundbrunnen|Osloer Straße
33|01033201|Mitte|Brunnenstraße|Brunnenstraße Nord
34|01033202|Mitte|Humboldthain Süd|Brunnenstraße Nord
35|01033203|Mitte|Humboldthain Nordwest|Brunnenstraße Nord
36|01044101|Mitte|Rehberge|Parkviertel
37|01044102|Mitte|Schillerpark|Parkviertel
38|01044103|Mitte|Westliche Müllerstraße|Parkviertel
39|01044201|Mitte|Reinickendorfer Straße|Wedding Zentrum
40|01044202|Mitte|Sparrplatz|Wedding Zentrum
41|01044203|Mitte|Leopoldplatz|Wedding Zentrum
42|02010101|Friedrichshain-Kreuzberg|Askanischer Platz|Südliche Friedrichstadt
43|02010102|Friedrichshain-Kreuzberg|Mehringplatz|Südliche Friedrichstadt
44|02010103|Friedrichshain-Kreuzberg|Moritzplatz|Südliche Friedrichstadt
45|02010104|Friedrichshain-Kreuzberg|Wassertorplatz|Südliche Friedrichstadt
46|02020201|Friedrichshain-Kreuzberg|Gleisdreieck/Entwicklungsgebiet|Tempelhofer Vorstadt
47|02020202|Friedrichshain-Kreuzberg|Rathaus Yorckstraße|Tempelhofer Vorstadt
48|02020203|Friedrichshain-Kreuzberg|Viktoriapark|Tempelhofer Vorstadt
49|02020204|Friedrichshain-Kreuzberg|Urbanstraße|Tempelhofer Vorstadt
50|02020205|Friedrichshain-Kreuzberg|Chamissokiez|Tempelhofer Vorstadt
51|02020206|Friedrichshain-Kreuzberg|Graefekiez|Tempelhofer Vorstadt
52|02030301|Friedrichshain-Kreuzberg|Oranienplatz|Nördliche Luisenstadt
53|02030302|Friedrichshain-Kreuzberg|Lausitzer Platz|Nördliche Luisenstadt
54|02030401|Friedrichshain-Kreuzberg|Reichenberger Straße|Südliche Luisenstadt
55|02030402|Friedrichshain-Kreuzberg|Wrangelkiez|Südliche Luisenstadt
56|02040501|Friedrichshain-Kreuzberg|Barnimkiez|Karl-Marx-Allee Nord
57|02040502|Friedrichshain-Kreuzberg|Friedenstraße|Karl-Marx-Allee Nord
58|02040503|Friedrichshain-Kreuzberg|Richard-Sorge-Viertel|Karl-Marx-Allee Nord
59|02040701|Friedrichshain-Kreuzberg|Andreasviertel|Karl-Marx-Allee Süd
60|02040702|Friedrichshain-Kreuzberg|Weberwiese|Karl-Marx-Allee Süd
61|02040703|Friedrichshain-Kreuzberg|Wriezener Bahnhof/Entwicklungsgebiet|Karl-Marx-Allee Süd
62|02050601|Friedrichshain-Kreuzberg|Hausburgviertel|Frankfurter Allee Nord
63|02050602|Friedrichshain-Kreuzberg|Samariterviertel|Frankfurter Allee Nord
64|02050801|Friedrichshain-Kreuzberg|Traveplatz|Frankfurter Allee Süd FK
65|02050802|Friedrichshain-Kreuzberg|Boxhagener Platz|Frankfurter Allee Süd FK
66|02050803|Friedrichshain-Kreuzberg|Stralauer Kiez|Frankfurter Allee Süd FK
67|02050804|Friedrichshain-Kreuzberg|Stralauer Halbinsel|Frankfurter Allee Süd FK
68|03010101|Pankow|Bucher Forst|Buch
69|03010102|Pankow|Buch|Buch
70|03010104|Pankow|Lietzengraben|Buch
71|03020203|Pankow|Blankenfelde|Blankenfelde/Niederschönhausen
72|03020209|Pankow|Niederschönhausen|Blankenfelde/Niederschönhausen
73|03020210|Pankow|Herthaplatz|Blankenfelde/Niederschönhausen
74|03020307|Pankow|Buchholz|Buchholz
75|03030405|Pankow|Karow Nord|Karow
76|03030406|Pankow|Alt-Karow|Karow
77|03030711|Pankow|Blankenburg|Blankenburg/Heinersdorf/Märchenland
78|03030715|Pankow|Heinersdorf|Blankenburg/Heinersdorf/Märchenland
79|03030716|Pankow|Märchenland|Blankenburg/Heinersdorf/Märchenland
80|03040508|Pankow|Rosenthal|Schönholz/Wilhelmsruh/Rosenthal
81|03040512|Pankow|Wilhelmsruh|Schönholz/Wilhelmsruh/Rosenthal
82|03040513|Pankow|Schönholz|Schönholz/Wilhelmsruh/Rosenthal
83|03040614|Pankow|Pankow Zentrum|Pankow Zentrum
84|03040818|Pankow|Pankow Süd|Pankow Süd
85|03050919|Pankow|Gustav-Adolf-Straße|Weißensee
86|03050920|Pankow|Weißer See|Weißensee
87|03050923|Pankow|Weißenseer Spitze|Weißensee
88|03050924|Pankow|Behaimstraße|Weißensee
89|03050925|Pankow|Komponistenviertel Weißensee|Weißensee
90|03051017|Pankow|Rennbahnstraße|Weißensee Ost
91|03051021|Pankow|Buschallee|Weißensee Ost
92|03051022|Pankow|Hansastraße|Weißensee Ost
93|03061126|Pankow|Arnimplatz|Prenzlauer Berg Nordwest
94|03061131|Pankow|Falkplatz|Prenzlauer Berg Nordwest
95|03061227|Pankow|Humannplatz|Prenzlauer Berg Nord
96|03061228|Pankow|Erich-Weinert-Straße|Prenzlauer Berg Nord
97|03061332|Pankow|Helmholtzplatz|Helmholtzplatz
98|03061429|Pankow|Greifswalder Straße|Prenzlauer Berg Ost
99|03061430|Pankow|Volkspark Prenzlauer Berg|Prenzlauer Berg Ost
100|03061434|Pankow|Anton-Saefkow-Park|Prenzlauer Berg Ost
101|03061435|Pankow|Conrad-Blenkle-Straße|Prenzlauer Berg Ost
102|03061441|Pankow|Eldenaer Straße|Prenzlauer Berg Ost
103|03071536|Pankow|Teutoburger Platz|Prenzlauer Berg Südwest
104|03071537|Pankow|Kollwitzplatz|Prenzlauer Berg Südwest
105|03071633|Pankow|Thälmannpark|Prenzlauer Berg Süd
106|03071638|Pankow|Winsstraße|Prenzlauer Berg Süd
107|03071639|Pankow|Bötzowstraße|Prenzlauer Berg Süd
108|04010101|Charlottenburg-Wilmersdorf|Jungfernheide|Charlottenburg Nord
109|04010102|Charlottenburg-Wilmersdorf|Plötzensee|Charlottenburg Nord
110|04010103|Charlottenburg-Wilmersdorf|Paul-Hertz-Siedlung|Charlottenburg Nord
111|04020204|Charlottenburg-Wilmersdorf|Olympiagelände|Heerstrasse
112|04020205|Charlottenburg-Wilmersdorf|Siedlung Ruhleben|Heerstrasse
113|04020206|Charlottenburg-Wilmersdorf|Angerburger Allee|Heerstrasse
